id,instance_id,user_id,status,waitlist,created_at,updated_at,sync_completed_on,async_completed_on,waitlisted_on,enrolled_on,canceled_on,absent_on,async_active_on
1,3,1,attend,,2022-08-12 16:12:18.870328,2023-09-20 14:31:34.180955,2022-08-12 16:17:55.565982,,,,,,
2,3,7,absent,,2022-08-12 16:12:43.099603,2022-08-12 16:17:55.569452,,,,,,,
3,3,5,attend,,2022-08-12 16:12:43.986543,2023-09-20 14:31:34.204569,2022-08-12 16:17:55.648452,,,,,,
4,20,4,absent,,2022-08-15 15:25:15.913039,2022-09-12 21:09:51.027656,,,,,,,
5,20,21,absent,,2022-08-15 15:32:34.549805,2022-09-12 21:09:51.196474,,,,,,,
6,20,2,cancel,,2022-08-15 15:33:30.625452,2022-09-12 17:49:56.117329,,,,,,,
7,27,7,cancel,,2022-08-15 17:58:29.406383,2022-08-15 18:24:58.472408,,,,,,,
8,17,6,enroll,,2022-08-15 19:46:30.581566,2022-08-15 19:46:30.581566,,,,,,,
9,38,7,cancel,,2022-08-16 00:37:34.643579,2022-08-16 13:27:11.036368,,,,,,,
10,71,7,absent,,2022-08-16 13:41:44.986119,2022-08-16 14:01:51.563387,,,,,,,
11,71,4,attend,,2022-08-16 13:48:21.329226,2023-09-20 14:31:34.217361,2022-08-16 14:01:51.495401,,,,,,
12,72,4,enroll,,2022-08-16 14:17:43.005180,2022-08-16 14:17:43.005180,,,,,,,
13,19,5,cancel,,2022-08-16 17:24:34.837303,2022-08-16 17:25:41.236416,,,,,,,
14,20,5,absent,,2022-08-16 17:53:04.566413,2022-09-12 21:09:51.023392,,,,,,,
15,27,4,cancel,,2022-08-16 19:58:09.978076,2022-08-16 20:06:40.096560,,,,,,,
16,73,7,cancel,,2022-08-17 14:48:33.029715,2022-08-17 14:51:33.153202,,,,,,,
17,20,7,cancel,,2022-08-17 15:28:07.459605,2022-08-17 15:30:04.992910,,,,,,,
19,22,2,cancel,,2022-08-17 19:54:59.691219,2022-09-02 18:54:47.537820,,,,,,,
20,75,2,cancel,,2022-08-17 20:01:33.252957,2022-09-02 18:54:34.983216,,,,,,,
21,13,5,cancel,,2022-08-18 17:31:57.106766,2022-08-18 17:34:35.533214,,,,,,,
22,65,5,cancel,,2022-08-18 17:31:59.052159,2022-08-18 17:34:41.194688,,,,,,,
23,23,2,cancel,,2022-08-18 20:56:50.444821,2022-08-22 16:54:55.249365,,,,,,,
24,90,7,enroll,,2022-08-19 13:39:43.769212,2022-08-19 13:39:43.769212,,,,,,,
25,20,1,cancel,,2022-08-19 13:43:43.057616,2022-08-22 14:32:28.989049,,,,,,,
